text,label
The following table describes the main differences between the SOAP and REST API design styles.   ,non-obligation
"This section defines ""Inside Information"" for the purposes of these Regulations.",obligation
"A Captive Insurer must, at the end of each reporting period, prepare an annual Regulatory Return.",obligation
"Once the applicant has submitted its RegLab application form, the Regulator will review the application and inform the applicant whether the FinTech Proposal potentially qualifies for the RegLab.",obligation
"Internal governance of the Governing Body. The Governing Body should also ensure that when assessing the performance of the members of the Governing Body and its Senior Managers and Persons Undertaking Key Control Functions, the independence and objectivity of that process is achieved through appropriate mechanisms, such as the assignment of the performance assessment to an independent member of the Governing Body or a committee of the Governing Body comprising a majority of independent members. See the GPM for the independence criteria for Authorised Persons and the GPM for the independence criteria for Recognised Bodies. ",obligation
The copy must be accompanied by an indication of the Third Party's right to make a reference under subsection (9).,obligation
"The Regulator may also exercise its information gathering powers at the request, and on behalf, of regulators and authorities in other jurisdictions, solely to assist them in performing their regulatory or enforcement functions.",non-obligation
"For the purposes of (2), where a Fund Manager makes arrangements with other Authorised Persons or Persons in other jurisdictions to Offer to issue or sell the Units of an Exempt Fund, then it must take reasonable steps to ensure that those Authorised Persons or other Persons do not Offer to issue or sell the Units in a manner that would result in a breach of the criteria in Rule 3.3.3.",obligation
Application,non-obligation
"The requirements in this Chapter apply to Foreign Fund Managers in the same manner as they apply to Authorised Fund Managers of Domestic Funds, unless otherwise provided. Foreign Fund Managers and Foreign Funds attract additional requirements, which are set out in Chapter 7.",obligation
Activities carried on in the course of a profession or non investment business,obligation
There is excluded from paragraph 28 the giving of advice in connection with a transaction (or proposed transaction) of the kind described in sub-paragraph (1).,obligation
"A Captive Insurer must calculate the best estimate: (a) based upon up-to-date and credible information and realistic assumptions and using adequate, applicable and relevant actuarial and statistical methods; (b) taking account of all the cash in- and out-flows required to settle the obligations arising under the Insurer's insurance and contracts of reinsurance; and (c) gross, without deduction of the amounts recoverable from contracts of reinsurance entered into by the Captive Insurer as Cedant.",obligation
ADDITIONAL RULES  AUTHORISED PERSONS CONDUCTING A REGULATED ACTIVITY IN RELATION TO VIRTUAL ASSETS,obligation
Net Independent Collateral Amount. The independent collateral amount (ICA) is (i) collateral (other than variation margin) posted by the counterparty that is available to the Authorised Person on default of the counterparty; and/or (ii) the Independent Amount parameter as defined in standard industry documentation.,obligation
Creation of an Investment Trust,non-obligation
"A person is taken to make a misleading or deceptive statement about a future matter whether by himself or through his agent, if he, at the time of making the statement or causing the statement to be made, did not have reasonable grounds for making the statement or causing the statement to be made.",obligation
"This Chapter applies, subject to (4), to a Fund Manager of a Domestic Fund, and each Director or partner of the Fund Manager and, if it has a Governing Body, each member of that body.",obligation
"The Rules may also require a Recognised Body or Remote Body to give the Regulator, at such times or in respect of such periods as may be Specified, such information relating to the body as may be Specified.",obligation
Certificates or Options. An arrangement does not constitute a Fund if the rights or interests of the participants in the arrangement are Investments of the kind specified under Sections 92 or 94 of Schedule 1 of the FSMR.,obligation
Calculation of RC for unmargined transactions. Derivative contracts with a one-way margining agreement in favour of the Authorised Person's counterparty must be treated as unmargined transactions.  ,obligation
Reporting and Record keeping,non-obligation
The application for consent must be in writing and include the reasons for the change.,obligation
Disclosure,non-obligation
"If the Regulator considers that a Principal Representative designated under (1) or (2) is not fit and proper to fulfil the role for which he has been designated, it will give the Representative Office written notice to this effect.",obligation
"Prospectus disclosure relating to Foreign Funds. Where an Authorised Fund Manager or other Authorised Person Offers a Unit of a Foreign Fund to a Person in the Abu Dhabi Global Market, it must make available to that Person at the time of the Offer a copy of a current Prospectus relating to the Fund which complies with the additional requirements in Rule 10.1.3 and Rule 10.1.4.",obligation
 The requirement for a Trading Book policy is prescribed in Rule A2.1.1.,obligation
"Before the Regulator issues the Rules, it may have regard to any representations made to it in accordance with subsection (2).",non-obligation
"In considering an Application made under section 121 or 122, the Regulator may have regard to any information which it considers is relevant to the Application.",obligation
"This Rule addresses applications or requests regarding Approved Persons with respect to Parts 3, 4 and 5 of the FSMR.",obligation
Co-operation with resolution authorities of another jurisdiction,non-obligation
Disclosure to a court ,non-obligation
"A Relevant Person should be satisfied that a customer's use of complex legal structures and/or the use of trust and private investment vehicles, has a genuine and legitimate purpose.",obligation
"In the interests of efficiency and effectiveness, we will set clear and reasonable timetables for settlement discussions to ensure they do not unreasonably delay settlement or a regulatory or enforcement outcome. Where we have concerns that a party to settlement discussions is using negotiations as a means to delay or frustrate our enforcement process with no genuine intention to settle, we may bring the settlement discussions to an end and pursue other appropriate enforcement action.",obligation
The Regulatory Authority may commence an investigation in relation to a Financial Institution.,obligation
"An Authorised Person should have procedures, including stop loss procedures, for taking appropriate action according to the information within the management reports.",obligation
Payment Account Providers. A Payment Account Provider must calculate its Variable Capital Requirement as the sum of the following: (a) 2.5% of the first $10 million of monthly payment volume; (b) 1% of the next $90 million of monthly payment volume; (c) 0.5% of the next $150 million of monthly payment volume; and (d) 0.25% of any remaining monthly payment volume.,obligation
"Fund Manager.In accordance with the Delegation Agreement, the Fund Manager: (a) must (save as otherwise permitted by these Rules) register the legal title of the Fund Property with the Eligible Custodian; and (b) may give instructions to the Eligible Custodian to deal with the Fund Property.",obligation
"A Fund Manager of a Qualified Investor Fund, when notifying the Regulator pursuant to Section 112 of the FSMR, must also include a general description of the Fund including the nature of its investments and the intended size of the Fund in monetary terms, and such other information as the Regulator may from time to time request.",obligation
"An Authorised Person must have detailed policies, processes and resources for managing problem credits which address the following: (a) monitoring of credits and early identification of credit quality deterioration; (b) review of classification of problem credits; and (c) ongoing oversight of problem credits, and for collecting on past due obligations.",obligation
"Proportionate application to Authorised Persons depending on the nature of their business: Those considerations set out in Guidance items 5  7 under Rule 3.3.41 apply equally to the way in which the Remuneration structure and strategies related requirement in Rule 3.3.42 is designed to apply to an Authorised Person. Accordingly, whilst most Category 4 Authorised Persons may have simple arrangements to achieve the outcome of aligning performance outcomes and risks associated with Remuneration structure and strategies, Banks, Insurers and dealers are expected to have more stringent measures to address such risks.  ",obligation
"The Fund Manager of a Domestic Fund shall: (a) produce a Prospectus in accordance with the requirements in this Rule; and (b) if the Fund is a Public Fund, file a copy of the Prospectus with the Regulator.",obligation
Counterparty Risk assessment. An Authorised Person should consider whether it needs to assess the credit worthiness of suppliers of goods and services to whom it makes material prepayments or advances. ,obligation
An Authorised Person is also required to measure and Vega risks in order to calculate the total capital charge. These sensitivities will be calculated according to an approved proprietary Options pricing model.,obligation
"An Authorised Person in Category 1, 2 or 5 must make the disclosures as prescribed in this Chapter.",obligation
A Fund Manager must take immediate action to rectify any breach of Rule 12.4.1 where such breach relates to the incorrect pricing of Units.,obligation
"This Chapter 7 does not impose an explicit Capital Requirement relating to interest rate risk. Rather, the Regulator may impose an Individual Capital Requirement (ICR) under Chapter 10 where it is of the view that the Authorised Person's Capital Requirement is insufficient to address adequately all its risks, and in particular its Exposure to interest rate risk in the Non-Trading Book .",obligation
Rights to be heard The following have the right to be heard in an Application under section 86 (a) any person who alleges that he would be adversely affected if the scheme were to be carried out; and (b) the Regulator.,obligation
"Standard Collective Investment Fund look through method: General. In the case of an Authorised Person being aware of the underlying assets or Investments of the Fund on a daily basis, the Authorised Person may look through to those underlying Investments in order to calculate the Market Risk Capital Requirement (General Market Risk and Specific Risk) for those positions in accordance with the methods set out in the relevant Section of Chapter 5 for calculating the relevant Market Risk Capital Requirement.",obligation
"maintain a nominee account which is held in the name of one Person, but controlled by or held for the benefit of another Person whose identity has not been disclosed to the Relevant Person.",obligation
T2 Exclusion - Managing an unrestricted Profit Sharing Investment Account. An Authorised Person must exclude from T2 Capital any amount by which the total of the Profit Equalisation Reserve and the Investment Risk Reserve exceeds the Displaced Commercial Risk Capital Requirement calculated in accordance with the IFR rules.,obligation
Defined terms,non-obligation
Governance of Reporting Entities. Corporate Governance,non-obligation
"Relevant regulatory authorities should be given access to additional data recorded in a Trade Repository, including participant level data, as relevant to the respective mandates and legal responsibilities of the relevant regulatory authority (such as market regulation and surveillance, oversight of exchanges, and prudential supervision or prevention of market misconduct). ",obligation
