text,label
API REQUIREMENTS Error handling All responses to errors should use the commonly used HTTP codes and should not reveal details of the failure unnecessarily as this may provide unintended attack vectors for bad actors.  ,obligation
"The CR's definition of turnover encompasses revenue from core activities, after removing trade discounts, VAT, and other relevant taxes.",non-obligation
A person to whom a notice specified in subsection (3) is given or copied may not publish the notice or any details concerning it unless the Regulator has published the notice or those details in accordance with its power in subsection (3).,obligation
The designated safety officer is responsible for conducting monthly fire drill exercises.,non-obligation
Application,non-obligation
Managing Assets ,non-obligation
The Oversight Body retains the right to absolve a Banking Institution from the routine submission of specified financial statements.,non-obligation
The proposal should be submitted with an advisory that stakeholders have a set period to present their views to the Authority.,non-obligation
"APIs are the building blocks of the modern digital ecosystem, facilitating the creation of interconnected experiences.",non-obligation
Sub paragraph (2) does not exclude an instrument which meets the requirements set out in paragraph 89(2) (a) to (f).,obligation
OPERATIONAL RISK,non-obligation
The guidelines set forth in Section 92(2) aim to prevent financial malpractices.,non-obligation
The Regulator may appoint one or more competent persons as Investigators to conduct an investigation on its behalf.,non-obligation
"This Chapter sets out the manner in which each of those components must be calculated, monitored and controlled by an Authorised Person.",obligation
"An Authorised Person or a Recognised Body must ensure that its internal audit function undertakes regular reviews and assessments of the effectiveness of the Authorised Person or Recognised Body's money laundering policies, procedures, systems and controls, and its compliance with its obligations in the AML Rulebook.",obligation
"However, there is no restriction against more than one Person being identified as Persons responsible for obtaining a Credit Rating relating to a Rating Subject. In such cases, a Credit Rating Agency should clearly identify those Persons as responsible Persons relating to the relevant Rating Subject.",obligation
"An Authorised Person in Category 1, 2, 3A or 5 must implement and maintain a Market Risk policy which enables it to identify, assess, control and monitor Market Risk.",obligation
"When a Captive Insurer arranges for an actuarial investigation under this Rule, the Captive Insurer must provide to the Regulator a written report of the investigation prepared by the Actuary conducting the actuarial investigation. Such report must be prepared no later than four months from the date of the actuarial investigation and must be submitted to the Regulator in accordance with Rule 7.4.2.",obligation
"As the scope of the Regulated Activity of Providing Custody excludes safekeeping of Money, Authorised Persons which hold or control Client Money are subject to chapter 14.",obligation
"By enacting specific provisions, the Oversight Committee has the discretion to relieve issuers from adhering to the protocols stated in clause 8 in particular instances.",non-obligation
"Risk control. An Authorised Person should consider setting credit limits for maximum Exposures to single and Connected Counterparties, as well as limits for aggregate Exposures to economic sectors, geographic areas, and on total Credit Risk arising from specific types of products. By limiting Exposures in these categories, an Authorised Person can manage credit Exposure more carefully and avoid excessive concentrations of risk.",obligation
"The regulatory provisions serve as a safeguard, ensuring that credit risk in the corporate asset",non-obligation
DOMESTIC FUNDS,non-obligation
"We will also generally refer to this Chapter when determining an appropriate penalty for the purposes of settlement, including any pecuniary penalty under an enforceable undertaking, as outlined in Chapter 7.",obligation
The activity. Operating a Private Financing Platform,non-obligation
"Exclusions from the Large Exposures limits. An Authorised Person need not include fully exempt Exposures, as referred to in Rule A4.11.1 when monitoring compliance with the limits in Rules 4.15.5, 4.15.6 and 4.15.7. ",obligation
The Endorsement Committee has the authority to rescind its endorsement should there be a failure to adhere to the agreed-upon terms and conditions.,non-obligation
Where an Authorised Person offers both (i) currency exchange or Money Remittance and (ii) Payment Services to its customers it must calculate the Expenditure Based Capital Minimum as 18/52nds of AAE.  Expenditure Based Capital Minimum as 18/52nds of AAE. ,obligation
